time,download
1659352674.0,1.45
1659352686.0,352.00
1659352692.0,820.00
1659352698.0,808.00
1659352704.0,1.59
1659352710.0,2.12
1659352716.0,2.12
1659352722.0,808.00
1659352740.0,17.90
1659352746.0,952.00
1659352764.0,548.00
1659352776.0,808.00
1659352782.0,144.00
1659352794.0,2.24
1659352800.0,808.00
1659352806.0,1.13
1659352818.0,2.03
1659352824.0,117.00
1659352830.0,1.11
1659352842.0,1.59
1659352860.0,1.45
1659352866.0,808.00
1659352872.0,1.59
1659352884.0,2.50
1659352890.0,6.76
1659352896.0,512.00
1659352902.0,2.38
1659352914.0,460.00
1659352920.0,2.24
1659352926.0,352.00
1659352932.0,608.00
1659352938.0,912.00
1659352944.0,1.80
1659352950.0,2.05
1659352962.0,952.00
1659352980.0,2.24
1659352986.0,144.00
1659352998.0,304.00
1659353004.0,484.00
1659353010.0,2.45
1659353016.0,22.90
1659353022.0,808.00
1659353028.0,808.00
1659353040.0,1.45
1659353046.0,6.19
1659353052.0,30.60
1659353058.0,3.49
1659353064.0,4.72
1659353070.0,1.75
1659353076.0,0.99
1659353094.0,53.30
1659353106.0,2816.00
1659353118.0,7.93
1659353124.0,996.00
1659353130.0,2600.96
1659353136.0,15360.00
1659353142.0,34.60
1659353148.0,1402.88
1659353154.0,304.00
1659353160.0,1495.04
1659353166.0,77.00
1659353172.0,689.00
1659353178.0,5.21
1659353184.0,3.12
1659353190.0,1341.44
1659353196.0,2201.60
1659353202.0,1669.12
1659353208.0,1413.12
1659353214.0,214.00
1659353220.0,590.00
1659353226.0,3215.36
1659353232.0,3.88
1659353238.0,959.00
1659353244.0,11.70
1659353250.0,596.00
1659353256.0,2.02
1659353262.0,3.32
1659353268.0,792.00
1659353274.0,3880.96
1659353280.0,565.00
1659353286.0,544.00
1659353292.0,487.00
1659353298.0,104.00
1659353304.0,3.96
1659353310.0,796.00
1659353316.0,5.67
1659353322.0,6.84
1659353328.0,1.35
1659353334.0,2.09
1659353340.0,7.44
1659353346.0,4.84
1659353352.0,4.41
1659353358.0,5.60
1659353364.0,340.00
1659353370.0,86.00
1659353376.0,2.24
1659353382.0,144.00
1659353388.0,2.51
1659353394.0,1.57
1659353400.0,512.00
