time,download
1659352674.0,256.00
1659352686.0,144.00
1659352692.0,1.77
1659352704.0,6.98
1659352722.0,1.45
1659352746.0,144.00
1659352752.0,1.45
1659352764.0,6.98
1659352782.0,144.00
1659352794.0,256.00
1659352800.0,1.45
1659352806.0,144.00
1659352812.0,320.00
1659352824.0,7.37
1659352830.0,1.45
1659352842.0,144.00
1659352848.0,1.45
1659352854.0,256.00
1659352872.0,144.00
1659352878.0,1.45
1659352884.0,7.23
1659352896.0,144.00
1659352902.0,2.27
1659352908.0,1.45
1659352926.0,144.00
1659352938.0,1.45
1659352944.0,7.23
1659352962.0,288.00
1659352968.0,1.45
1659352974.0,256.00
1659352986.0,144.00
1659352998.0,1.45
1659353004.0,7.23
1659353016.0,288.00
1659353028.0,1.45
1659353034.0,256.00
1659353046.0,1.59
1659353052.0,320.00
1659353064.0,7.23
1659353076.0,1.59
1659353094.0,1.70
1659353106.0,144.00
1659353124.0,8.57
1659353142.0,144.00
1659353154.0,1.70
1659353166.0,144.00
1659353172.0,464.00
1659353184.0,8.68
1659353190.0,144.00
1659353202.0,144.00
1659353226.0,144.00
1659353232.0,1.45
1659353244.0,8.68
1659353274.0,256.00
1659353286.0,144.00
1659353292.0,1.45
1659353304.0,3.61
1659353322.0,1.59
1659353334.0,256.00
1659353340.0,1.45
1659353346.0,144.00
1659353364.0,7.23
1659353370.0,1.45
1659353382.0,144.00
1659353394.0,256.00
1659353400.0,1.45
1659353424.0,3.75
1659353442.0,144.00
1659353448.0,1.45
1659353466.0,144.00
1659353478.0,1.45
1659353484.0,7.23
1659353496.0,144.00
1659353502.0,144.00
1659353508.0,2.12
1659353514.0,256.00
1659353526.0,1.45
1659353532.0,320.00
1659353544.0,3.36
1659353556.0,1.59
1659353562.0,144.00
1659353586.0,1.45
1659353604.0,256.00
1659353616.0,1.59
1659353622.0,144.00
1659353634.0,1.45
1659353646.0,1.45
1659353664.0,256.00
1659353676.0,1.59
1659353682.0,144.00
1659353694.0,1.70
1659353724.0,1.70
1659353742.0,144.00
1659353754.0,1.70
1659353772.0,144.00
1659353784.0,1.84
1659353790.0,144.00
1659353796.0,144.00
1659353802.0,144.00
1659353844.0,1.70
1659353874.0,1.45
1659353892.0,320.00
1659353904.0,1.70
1659353916.0,144.00
1659353964.0,5.06
1659353982.0,1.45
1659353994.0,256.00
1659354012.0,1.45
1659354024.0,3.50
1659354042.0,1.45
1659354072.0,1.45
1659354084.0,3.61
1659354090.0,1.45
1659354114.0,2.38
1659354120.0,2.12
1659354150.0,1.45
1659354174.0,256.00
1659354180.0,1.45
1659354204.0,256.00
1659354210.0,1.45
1659354228.0,1.45
1659354234.0,256.00
1659354270.0,1.45
1659354288.0,1.45
1659354318.0,1.45
1659354324.0,256.00
1659354330.0,1.45
1659354342.0,336.00
1659354348.0,1.45
1659354378.0,1.45
1659354384.0,256.00
1659354408.0,1.45
1659354414.0,256.00
1659354420.0,1.45
1659354438.0,1.45
1659354468.0,144.00
1659354474.0,256.00
1659354498.0,208.00
1659354528.0,1.45
1659354534.0,256.00
1659354558.0,1.45
1659354564.0,256.00
1659354576.0,1.45
1659354588.0,1.45
1659354612.0,320.00
1659354618.0,1.45
1659354624.0,256.00
1659354642.0,336.00
1659354648.0,1.45
1659354678.0,1.45
1659354708.0,1.45
1659354720.0,2.12
1659354732.0,320.00
1659354738.0,1.45
1659354774.0,256.00
1659354798.0,1.45
1659354804.0,256.00
1659354828.0,1.45
1659354834.0,256.00
1659354876.0,1.45
1659354906.0,1.45
1659354924.0,256.00
1659354936.0,1.45
1659354942.0,336.00
1659354954.0,1.70
1659354972.0,320.00
1659354978.0,336.00
1659354984.0,1.45
1659355014.0,1.70
1659355044.0,1.45
1659355074.0,1.45
1659355104.0,1.45
1659355134.0,1.45
1659355164.0,208.00
1659355212.0,1.45
1659355242.0,1.45
1659355272.0,1.78
1659355284.0,336.00
1659355290.0,672.00
1659355302.0,2.77
1659355326.0,2.12
1659355332.0,1.78
1659355362.0,1.45
1659355392.0,1.45
1659355422.0,1.45
1659355452.0,1.77
1659355464.0,256.00
1659355482.0,1.45
1659355494.0,128.00
1659355512.0,1.45
1659355542.0,1.45
1659355554.0,256.00
1659355572.0,1.45
1659355578.0,336.00
1659355584.0,1.31
1659355590.0,336.00
1659355602.0,1.78
1659355608.0,672.00
1659355614.0,256.00
1659355620.0,1.25
1659355626.0,336.00
1659355632.0,1.45
1659355650.0,8.43
1659355662.0,1.45
1659355680.0,1.45
1659355704.0,256.00
1659355710.0,8.43
1659355740.0,1.45
1659355770.0,8.43
1659355800.0,1.45
1659355830.0,8.43
1659355854.0,592.00
1659355860.0,1.45
1659355872.0,336.00
1659355878.0,336.00
1659355884.0,0.98
1659355890.0,8.76
1659355896.0,336.00
1659355914.0,336.00
1659355920.0,1.45
1659355938.0,1.45
1659355944.0,256.00
1659355950.0,8.43
1659355974.0,256.00
1659355980.0,1.45
1659356010.0,6.98
1659356028.0,1.45
1659356040.0,1.45
1659356058.0,1.45
1659356064.0,256.00
1659356070.0,6.98
1659356088.0,1.45
1659356118.0,1.45
1659356130.0,6.98
1659356148.0,1.45
1659356172.0,672.00
1659356178.0,1.45
1659356184.0,672.00
1659356190.0,7.31
1659356202.0,336.00
1659356208.0,1.45
1659356238.0,1.45
1659356244.0,256.00
1659356250.0,3.82
1659356268.0,1.45
1659356274.0,256.00
1659356298.0,1.45
1659356304.0,256.00
1659356310.0,6.98
1659356328.0,1.45
1659356334.0,256.00
1659356358.0,1.45
1659356370.0,3.62
1659356388.0,1.45
1659356418.0,1.45
1659356424.0,256.00
1659356430.0,3.62
1659356466.0,2.11
1659356484.0,592.00
1659356490.0,6.98
1659356496.0,336.00
1659356508.0,336.00
1659356514.0,336.00
1659356526.0,1.45
1659356538.0,2.12
1659356544.0,1.70
1659356550.0,6.98
1659356574.0,1.45
1659356592.0,1.45
1659356604.0,1.70
1659356610.0,6.98
1659356622.0,1.45
1659356652.0,1.45
1659356664.0,256.00
1659356670.0,6.98
1659356682.0,1.45
1659356712.0,1.45
1659356730.0,6.98
1659356742.0,1.45
1659356754.0,256.00
1659356772.0,1.45
1659356814.0,256.00
1659356820.0,1.45
1659356844.0,256.00
1659356850.0,1.45
1659356880.0,1.45
1659356904.0,256.00
1659356910.0,1.45
1659356934.0,256.00
1659356940.0,1.45
1659356964.0,256.00
1659356970.0,1.45
1659357000.0,1.45
1659357030.0,1.45
1659357054.0,256.00
1659357060.0,1.45
1659357090.0,1.45
1659357096.0,176.00
1659357120.0,1.45
1659357144.0,2.38
1659357150.0,1.45
1659357198.0,1.45
1659357228.0,1.45
1659357246.0,1.45
1659357258.0,1.45
1659357264.0,256.00
1659357288.0,1.45
1659357294.0,256.00
1659357336.0,1.45
1659357354.0,256.00
1659357366.0,1.45
