time,download
1659352686.0,340.00
1659352716.0,352.00
1659352746.0,2.36
1659352776.0,2.91
1659352782.0,1.22
1659352800.0,89.00
1659352806.0,9.73
1659352812.0,172.00
1659352824.0,144.00
1659352830.0,636.00
1659352836.0,208.00
1659352866.0,340.00
1659352884.0,144.00
1659352920.0,332.00
1659352926.0,340.00
1659352944.0,5.51
1659352956.0,208.00
1659352986.0,340.00
1659353016.0,29.40
1659353040.0,3.02
1659353046.0,340.00
1659353052.0,208.00
1659353064.0,2.74
1659353088.0,110.00
1659353106.0,340.00
1659353124.0,144.00
1659353142.0,208.00
1659353148.0,484.00
1659353154.0,144.00
1659353184.0,144.00
1659353208.0,1.46
1659353244.0,144.00
1659353268.0,132.00
1659353322.0,208.00
1659353328.0,340.00
1659353370.0,73.90
1659353388.0,1.04
1659353412.0,208.00
1659353424.0,352.00
1659353430.0,304.00
1659353466.0,332.00
1659353502.0,208.00
1659353508.0,664.00
1659353514.0,2.23
1659353520.0,728.00
1659353526.0,704.00
1659353532.0,4.23
1659353544.0,13.90
1659353550.0,10.80
1659353568.0,340.00
1659353586.0,340.00
1659353592.0,208.00
1659353598.0,203.00
1659353604.0,208.00
1659353628.0,2.96
1659353640.0,145.00
1659353646.0,35.20
1659353652.0,872.00
1659353664.0,2.94
1659353670.0,24.80
1659353676.0,540.00
1659353682.0,208.00
1659353688.0,664.00
1659353694.0,5.76
1659353724.0,208.00
1659353742.0,448.00
1659353748.0,340.00
1659353754.0,4.36
1659353784.0,208.00
1659353808.0,340.00
1659353868.0,340.00
1659353874.0,512.00
1659353880.0,0.98
1659353892.0,724.00
1659353904.0,208.00
1659353922.0,332.00
1659353928.0,664.00
1659353964.0,2.74
1659353988.0,340.00
1659354012.0,332.00
1659354024.0,560.00
1659354030.0,304.00
1659354048.0,340.00
1659354084.0,144.00
1659354096.0,528.00
1659354102.0,965.00
1659354108.0,340.00
1659354144.0,14.40
1659354150.0,144.00
1659354162.0,208.00
1659354168.0,340.00
1659354210.0,144.00
1659354228.0,340.00
1659354246.0,2.69
1659354264.0,2.94
1659354282.0,208.00
1659354288.0,340.00
1659354318.0,144.00
1659354324.0,208.00
1659354348.0,340.00
1659354354.0,3.47
1659354384.0,5.05
1659354390.0,2764.80
1659354402.0,208.00
1659354408.0,9.66
1659354414.0,232.00
1659354426.0,1218.56
1659354432.0,59.50
1659354438.0,1.05
1659354444.0,144.00
1659354450.0,2.95
1659354456.0,1.05
1659354468.0,672.00
1659354480.0,1.61
1659354492.0,2.12
1659354498.0,2.09
1659354504.0,208.00
1659354516.0,55.40
1659354522.0,208.00
1659354528.0,760.00
1659354558.0,332.00
1659354564.0,1.97
1659354576.0,352.00
1659354582.0,1.78
1659354588.0,340.00
1659354618.0,144.00
1659354624.0,208.00
1659354642.0,208.00
1659354648.0,2.62
1659354690.0,1.15
1659354708.0,340.00
1659354744.0,9.49
1659354750.0,2.83
1659354762.0,208.00
1659354768.0,340.00
1659354804.0,144.00
1659354828.0,340.00
1659354888.0,340.00
1659354906.0,83.10
1659354924.0,208.00
1659354930.0,340.00
1659354948.0,340.00
1659354984.0,144.00
1659355008.0,340.00
1659355014.0,332.00
1659355038.0,720.00
1659355068.0,664.00
1659355104.0,332.00
1659355128.0,340.00
1659355152.0,1.80
1659355158.0,208.00
1659355188.0,664.00
1659355194.0,332.00
1659355206.0,2.25
1659355230.0,304.00
1659355248.0,548.00
1659355266.0,4.47
1659355308.0,340.00
1659355338.0,208.00
1659355344.0,12.10
1659355368.0,340.00
1659355410.0,10.30
1659355428.0,208.00
1659355470.0,548.00
1659355506.0,728.00
1659355518.0,208.00
1659355548.0,24.00
1659355560.0,332.00
1659355590.0,340.00
1659355602.0,33.30
1659355608.0,208.00
1659355614.0,26.20
1659355626.0,208.00
1659355650.0,1.50
1659355698.0,208.00
1659355710.0,340.00
1659355740.0,332.00
1659355770.0,340.00
1659355788.0,208.00
1659355806.0,728.00
1659355830.0,644.00
1659355860.0,2.05
1659355878.0,208.00
1659355890.0,340.00
1659355896.0,932.00
1659355902.0,43.70
1659355926.0,27.10
1659355944.0,33.10
1659355950.0,872.00
1659355968.0,208.00
1659356010.0,340.00
1659356016.0,151.00
1659356058.0,208.00
1659356070.0,55.70
1659356130.0,340.00
1659356148.0,208.00
1659356154.0,144.00
1659356190.0,548.00
1659356196.0,332.00
