time,download
1659352674.0,596.00
1659352686.0,304.00
1659352704.0,144.00
1659352716.0,332.00
1659352734.0,208.00
1659352746.0,332.00
1659352758.0,208.00
1659352782.0,340.00
1659352794.0,332.00
1659352818.0,144.00
1659352824.0,672.00
1659352842.0,664.00
1659352854.0,332.00
1659352866.0,1.16
1659352878.0,512.00
1659352884.0,1.41
1659352890.0,640.00
1659352896.0,672.00
1659352902.0,668.00
1659352932.0,332.00
1659352944.0,808.00
1659352962.0,500.00
1659352980.0,332.00
1659352998.0,208.00
1659353004.0,2.05
1659353010.0,332.00
1659353064.0,1.64
1659353070.0,596.00
1659353076.0,304.00
1659353088.0,332.00
1659353118.0,540.00
1659353142.0,340.00
1659353160.0,336.00
1659353166.0,332.00
1659353172.0,596.00
1659353184.0,340.00
1659353190.0,336.00
1659353196.0,332.00
1659353214.0,336.00
1659353232.0,336.00
1659353244.0,484.00
1659353268.0,144.00
1659353274.0,332.00
1659353304.0,672.00
1659353334.0,332.00
1659353364.0,1.50
1659353370.0,596.00
1659353376.0,624.00
1659353382.0,956.00
1659353412.0,1.12
1659353424.0,340.00
1659353466.0,932.00
1659353472.0,928.00
1659353484.0,1.27
1659353490.0,640.00
1659353496.0,0.98
1659353502.0,332.00
1659353508.0,336.00
1659353514.0,144.00
1659353544.0,340.00
1659353550.0,332.00
1659353580.0,332.00
1659353604.0,820.00
1659353628.0,332.00
1659353634.0,55.80
1659353640.0,3.66
1659353646.0,79.40
1659353652.0,17.90
1659353658.0,332.00
1659353664.0,548.00
1659353676.0,304.00
1659353682.0,304.00
1659353688.0,31.60
1659353706.0,144.00
1659353724.0,340.00
1659353736.0,332.00
1659353766.0,332.00
1659353772.0,596.00
1659353784.0,676.00
1659353790.0,672.00
1659353796.0,336.00
1659353844.0,672.00
1659353868.0,144.00
1659353880.0,624.00
1659353904.0,808.00
1659353952.0,332.00
1659353964.0,936.00
1659353970.0,42.00
1659353982.0,332.00
1659354024.0,664.00
1659354030.0,332.00
