time,download
1659352674.0,208.00
1659352680.0,1.45
1659352692.0,1.09
1659352710.0,1.45
1659352722.0,1.09
1659352728.0,1.25
1659352734.0,208.00
1659352740.0,1.45
1659352752.0,1.55
1659352758.0,336.00
1659352764.0,304.00
1659352770.0,1.45
1659352776.0,208.00
1659352782.0,1.09
1659352788.0,1.45
1659352812.0,1.23
1659352818.0,1.61
1659352842.0,1.09
1659352848.0,944.00
1659352866.0,1.45
1659352872.0,864.00
1659352878.0,208.00
1659352896.0,1.45
1659352902.0,1.34
1659352914.0,144.00
1659352926.0,1.45
1659352932.0,1.09
1659352956.0,1.45
1659352962.0,1.09
1659352986.0,3.62
1659352992.0,1.23
1659352998.0,2.12
1659353004.0,3.58
1659353022.0,1.30
1659353034.0,1.45
1659353040.0,144.00
1659353046.0,3.62
1659353052.0,1.34
1659353064.0,1.66
1659353082.0,256.00
1659353094.0,1.45
1659353106.0,144.00
1659353112.0,1.09
1659353124.0,1.66
1659353142.0,1.34
1659353148.0,304.00
1659353154.0,1.45
1659353166.0,8.64
1659353172.0,1.09
1659353184.0,1.45
1659353190.0,1.36
1659353196.0,208.00
1659353202.0,1.09
1659353214.0,1.45
1659353220.0,144.00
1659353226.0,6.98
1659353232.0,2.80
1659353262.0,2.55
1659353268.0,208.00
1659353274.0,144.00
1659353286.0,3.62
1659353292.0,2.55
1659353298.0,144.00
1659353322.0,2.55
1659353346.0,6.98
1659353352.0,2.55
1659353364.0,1.94
1659353370.0,1.66
1659353376.0,144.00
1659353382.0,1.34
1659353400.0,1.59
1659353406.0,6.98
1659353412.0,1.30
1659353430.0,1.45
1659353442.0,1.34
1659353448.0,1.59
1659353454.0,336.00
1659353460.0,1.45
1659353466.0,208.00
1659353472.0,1.55
1659353478.0,1.45
1659353496.0,144.00
1659353502.0,512.00
1659353508.0,1.45
1659353514.0,208.00
1659353526.0,8.43
1659353532.0,1.34
1659353556.0,1.59
1659353562.0,1.34
1659353574.0,208.00
1659353586.0,5.21
1659353592.0,1.09
1659353598.0,1.45
1659353604.0,2.12
1659353610.0,2.12
1659353616.0,352.00
1659353622.0,1.34
1659353628.0,1.45
1659353646.0,8.57
1659353652.0,1.09
1659353676.0,1.59
1659353682.0,1.34
1659353706.0,1.79
1659353712.0,512.00
1659353718.0,208.00
1659353724.0,1.45
1659353736.0,144.00
1659353742.0,512.00
1659353754.0,1.45
1659353760.0,208.00
1659353766.0,3.62
1659353772.0,1.09
1659353784.0,1.45
1659353802.0,1.23
1659353814.0,1.45
1659353820.0,208.00
1659353826.0,3.62
1659353832.0,1.95
1659353856.0,144.00
1659353862.0,3.00
1659353886.0,144.00
1659353892.0,1.95
1659353910.0,1.45
1659353922.0,256.00
1659353952.0,400.00
1659353964.0,512.00
1659353976.0,144.00
1659353982.0,1.34
1659354000.0,1.45
1659354006.0,3.90
1659354012.0,256.00
1659354024.0,208.00
1659354030.0,1.45
1659354036.0,144.00
1659354042.0,512.00
1659354048.0,304.00
1659354060.0,1.45
1659354066.0,208.00
1659354072.0,1.34
1659354078.0,1.45
1659354096.0,144.00
1659354102.0,1.09
1659354108.0,1.66
1659354126.0,1.66
1659354132.0,256.00
1659354138.0,208.00
1659354156.0,1.59
1659354162.0,1.34
1659354168.0,208.00
1659354186.0,8.43
1659354192.0,512.00
1659354210.0,2.33
1659354216.0,1.45
1659354222.0,512.00
1659354246.0,8.43
1659354252.0,1.09
1659354258.0,208.00
1659354276.0,1.59
1659354282.0,512.00
1659354306.0,8.43
1659354312.0,1.55
1659354324.0,1.45
1659354336.0,1.59
1659354342.0,512.00
1659354366.0,6.98
1659354372.0,1.34
1659354378.0,208.00
1659354384.0,1.45
1659354402.0,1.23
1659354414.0,1.45
1659354426.0,6.98
1659354432.0,2.55
1659354438.0,208.00
1659354456.0,208.00
1659354462.0,2.55
1659354486.0,6.98
1659354492.0,2.55
1659354498.0,208.00
1659354516.0,208.00
1659354522.0,2.80
1659354546.0,6.98
1659354552.0,2.80
1659354558.0,416.00
1659354564.0,304.00
1659354582.0,3.45
1659354600.0,208.00
1659354606.0,3.36
1659354612.0,512.00
1659354618.0,416.00
1659354642.0,2.80
1659354660.0,208.00
1659354666.0,51.10
1659354672.0,512.00
1659354678.0,208.00
1659354690.0,2.06
1659354696.0,748.00
1659354702.0,2.55
1659354708.0,208.00
1659354732.0,2.80
1659354738.0,208.00
1659354750.0,1.45
1659354762.0,1.55
1659354780.0,1.45
1659354786.0,3.36
1659354792.0,1.34
1659354798.0,208.00
1659354804.0,208.00
1659354810.0,1.45
1659354816.0,4.05
1659354822.0,256.00
1659354840.0,1.45
1659354846.0,3.36
1659354852.0,1.34
1659354858.0,208.00
1659354870.0,1.45
1659354882.0,1.09
1659354900.0,1.45
1659354906.0,1.75
1659354912.0,1.26
1659354930.0,1.45
1659354936.0,780.00
1659354942.0,512.00
1659354948.0,1.45
1659354972.0,512.00
1659354978.0,1.66
1659354996.0,1.45
1659355002.0,512.00
1659355008.0,208.00
1659355026.0,1.45
1659355032.0,512.00
1659355038.0,208.00
1659355044.0,1.45
1659355062.0,512.00
1659355074.0,1.45
1659355092.0,1.09
