time,download
1659352680.0,1.45
1659352692.0,240.00
1659352710.0,1.45
1659352728.0,1.45
1659352740.0,1.45
1659352752.0,240.00
1659352770.0,1.75
1659352782.0,288.00
1659352788.0,1.45
1659352800.0,416.00
1659352812.0,105.00
1659352818.0,1.45
1659352842.0,144.00
1659352854.0,336.00
1659352866.0,1.45
1659352872.0,15.30
1659352884.0,336.00
1659352896.0,1.45
1659352902.0,144.00
1659352920.0,312.00
1659352926.0,1.45
1659352932.0,312.00
1659352938.0,25.10
1659352956.0,1.45
1659352962.0,784.00
1659352992.0,240.00
1659352998.0,2.12
1659353004.0,3.58
1659353034.0,128.00
1659353052.0,1.91
1659353064.0,1.45
1659353094.0,1.45
1659353112.0,240.00
1659353118.0,144.00
1659353124.0,1.45
1659353142.0,144.00
1659353154.0,47.20
1659353160.0,58.70
1659353166.0,1.45
1659353184.0,1.73
1659353202.0,144.00
1659353214.0,1.45
1659353232.0,1.45
1659353244.0,144.00
1659353262.0,1.45
1659353292.0,1.69
1659353304.0,144.00
1659353322.0,1.45
1659353352.0,1.69
1659353358.0,3.62
1659353370.0,1.89
1659353382.0,144.00
1659353394.0,500.00
1659353400.0,3.75
1659353412.0,1.96
1659353418.0,1.93
1659353430.0,1.45
1659353442.0,144.00
1659353448.0,1.45
1659353460.0,1.45
1659353472.0,240.00
1659353478.0,3.25
1659353484.0,144.00
1659353502.0,144.00
1659353508.0,1.45
1659353526.0,1.45
1659353532.0,240.00
1659353538.0,208.00
1659353544.0,144.00
1659353556.0,1.45
1659353562.0,144.00
1659353586.0,1.45
1659353592.0,240.00
1659353598.0,8.43
1659353604.0,2.12
1659353610.0,2.12
1659353616.0,624.00
1659353622.0,456.00
1659353628.0,1.45
1659353640.0,4.83
1659353646.0,2.80
1659353652.0,240.00
1659353658.0,6.98
1659353664.0,144.00
1659353670.0,185.00
1659353676.0,1.45
1659353682.0,144.00
1659353700.0,7.64
1659353718.0,3.50
1659353724.0,1.45
1659353742.0,432.00
1659353754.0,2.75
1659353772.0,240.00
1659353778.0,6.98
1659353784.0,1.73
1659353802.0,144.00
1659353808.0,2.86
1659353814.0,1.45
1659353832.0,1.45
1659353838.0,680.00
1659353862.0,1.45
1659353892.0,1.45
1659353898.0,3.36
1659353910.0,1.45
1659353934.0,9.23
1659353940.0,4.82
1659353946.0,4.62
1659353958.0,53.00
1659353964.0,208.00
1659353970.0,304.00
1659354000.0,1.45
1659354030.0,1.45
1659354048.0,144.00
1659354060.0,1.45
1659354078.0,1.45
1659354084.0,144.00
1659354090.0,132.00
1659354096.0,10.30
1659354102.0,992.00
1659354108.0,2.24
1659354126.0,1.45
1659354144.0,784.00
1659354150.0,208.00
1659354156.0,2.42
1659354162.0,560.00
1659354168.0,992.00
1659354186.0,1.45
1659354210.0,2.12
1659354216.0,1.45
1659354222.0,392.00
1659354234.0,1.02
1659354240.0,18.60
1659354246.0,2.04
1659354252.0,240.00
1659354258.0,1.60
1659354270.0,992.00
1659354276.0,1.75
1659354300.0,10.60
1659354306.0,1.45
1659354324.0,2.36
1659354336.0,3.14
1659354342.0,9.02
1659354348.0,4.44
1659354384.0,1.45
1659354390.0,392.00
1659354402.0,392.00
1659354414.0,2.22
1659354426.0,160.00
1659354432.0,1.69
1659354462.0,1.45
1659354492.0,1.45
1659354522.0,1.45
1659354552.0,1.69
1659354564.0,312.00
1659354570.0,304.00
1659354576.0,1.98
1659354582.0,344.00
1659354606.0,144.00
1659354642.0,1.59
1659354684.0,144.00
1659354690.0,40.20
1659354702.0,1.45
1659354732.0,1.69
1659354750.0,1.45
1659354762.0,936.00
1659354780.0,1.45
1659354786.0,39.90
1659354792.0,28.10
1659354810.0,1.45
1659354816.0,4.05
1659354840.0,1.45
1659354846.0,9.21
1659354870.0,1.45
1659354900.0,1.45
1659354930.0,1.45
1659354948.0,1.45
1659354978.0,1.45
1659354996.0,1.45
1659355026.0,1.45
1659355044.0,1.45
1659355074.0,1.45
1659355110.0,144.00
1659355134.0,1.25
1659355146.0,4.19
1659355152.0,4.19
1659355164.0,1.45
1659355170.0,448.00
1659355176.0,144.00
1659355194.0,1.45
1659355224.0,1.45
1659355230.0,144.00
1659355242.0,1.45
1659355272.0,1.69
1659355296.0,144.00
1659355302.0,1.59
1659355308.0,828.00
1659355332.0,2.55
1659355338.0,304.00
1659355350.0,144.00
1659355362.0,1.59
1659355368.0,144.00
1659355392.0,1.69
1659355410.0,144.00
1659355416.0,144.00
1659355422.0,2.12
1659355428.0,2.12
1659355434.0,144.00
1659355470.0,1.59
1659355476.0,144.00
1659355482.0,144.00
1659355500.0,1.45
1659355518.0,1.45
1659355530.0,144.00
1659355548.0,1.45
1659355578.0,1.45
1659355584.0,3.62
1659355608.0,1.45
1659355614.0,144.00
1659355632.0,240.00
1659355638.0,1.45
1659355644.0,5.69
1659355650.0,144.00
1659355668.0,1.59
1659355674.0,144.00
1659355692.0,240.00
1659355698.0,1.45
1659355704.0,6.98
1659355710.0,768.00
1659355734.0,208.00
1659355746.0,1.45
1659355764.0,6.98
1659355770.0,448.00
1659355776.0,144.00
1659355788.0,1.73
1659355818.0,4.97
1659355824.0,6.98
1659355830.0,288.00
1659355836.0,336.00
1659355848.0,1.78
1659355884.0,22.70
1659355890.0,144.00
1659355896.0,1.45
1659355902.0,1.34
1659355914.0,2.04
1659355920.0,312.00
1659355944.0,192.00
1659355950.0,144.00
1659355962.0,144.00
1659355974.0,1.45
1659356004.0,4.95
1659356010.0,144.00
1659356016.0,144.00
1659356028.0,144.00
1659356034.0,3.58
1659356052.0,1.45
1659356058.0,624.00
1659356064.0,144.00
1659356070.0,144.00
1659356082.0,1.45
1659356088.0,144.00
1659356094.0,144.00
