time,download
1659352680.0,1.45
1659352692.0,1.68
1659352710.0,1.45
1659352716.0,53.30
1659352722.0,1.68
1659352728.0,1.45
1659352734.0,5.19
1659352740.0,1.45
1659352746.0,512.00
1659352752.0,186.00
1659352770.0,1.45
1659352776.0,1.40
1659352782.0,1.68
1659352788.0,1.75
1659352794.0,5.19
1659352812.0,3.89
1659352818.0,1.45
1659352842.0,1.68
1659352848.0,1.04
1659352854.0,5.19
1659352866.0,1.45
1659352872.0,1.68
1659352896.0,1.45
1659352902.0,1.93
1659352914.0,7.29
1659352926.0,1.45
1659352932.0,1.43
1659352956.0,1.45
1659352962.0,1.93
1659352974.0,4.61
1659352992.0,1.68
1659352998.0,2.12
1659353004.0,3.58
1659353022.0,1.68
1659353034.0,1.45
1659353052.0,1.68
1659353064.0,1.45
1659353082.0,256.00
1659353094.0,1.45
1659353112.0,1.68
1659353124.0,1.45
1659353142.0,1.93
1659353154.0,1.45
1659353166.0,1.45
1659353172.0,1.68
1659353184.0,1.45
1659353196.0,208.00
1659353202.0,1.68
1659353214.0,1.45
1659353232.0,2.16
1659353262.0,2.75
1659353292.0,3.13
1659353298.0,26.80
1659353322.0,3.13
1659353352.0,3.13
1659353370.0,1.45
1659353376.0,2.06
1659353382.0,1.55
1659353400.0,1.45
1659353412.0,1.68
1659353430.0,1.45
1659353442.0,1.93
1659353448.0,1.45
1659353460.0,1.45
1659353472.0,1.93
1659353478.0,2.11
1659353484.0,672.00
1659353502.0,1.55
1659353508.0,1.45
1659353526.0,1.45
1659353532.0,1.93
1659353556.0,1.45
1659353562.0,1.93
1659353586.0,1.45
1659353592.0,1.68
1659353598.0,1.45
1659353604.0,2.12
1659353610.0,2.12
1659353622.0,1.93
1659353628.0,1.45
1659353640.0,208.00
1659353646.0,1.45
1659353652.0,1.68
1659353676.0,1.45
1659353682.0,1.93
1659353712.0,1.93
1659353724.0,1.45
1659353742.0,1.82
1659353754.0,1.45
1659353766.0,640.00
1659353772.0,1.43
1659353784.0,1.45
1659353802.0,1.68
1659353814.0,2211.84
1659353820.0,4.33
1659353832.0,2.16
1659353838.0,816.00
1659353862.0,6.12
1659353880.0,6.98
1659353892.0,1.95
1659353910.0,1.45
1659353922.0,856.00
1659353940.0,6.98
1659353952.0,856.00
1659353982.0,1.68
1659354000.0,8.12
1659354012.0,328.00
1659354030.0,1.45
1659354042.0,1.55
1659354048.0,144.00
1659354060.0,8.43
1659354072.0,1.68
1659354078.0,1.45
1659354084.0,144.00
1659354102.0,1.43
