time,download
1659352674.0,1.45
1659352680.0,1.21
1659352692.0,668.00
1659352698.0,128.00
1659352704.0,208.00
1659352734.0,768.00
1659352746.0,689.00
1659352752.0,53.90
1659352776.0,13.50
1659352782.0,12.40
1659352788.0,75.00
1659352794.0,1.45
1659352806.0,208.00
1659352812.0,15.90
1659352818.0,39.00
1659352842.0,1.45
1659352860.0,1.45
1659352866.0,17.20
1659352872.0,65.20
1659352902.0,1.61
1659352914.0,11.20
1659352920.0,151.00
1659352926.0,17.90
1659352944.0,1.43
1659352950.0,1.45
1659352968.0,304.00
1659352980.0,1.66
1659352986.0,17.20
1659352992.0,2.12
1659352998.0,2.12
1659353010.0,1.45
1659353034.0,320.00
1659353040.0,1.98
1659353046.0,17.00
1659353070.0,1.45
1659353106.0,3.20
1659353112.0,448.00
1659353118.0,1.45
1659353142.0,8.14
1659353148.0,1.45
1659353178.0,1.45
1659353202.0,144.00
1659353208.0,1.45
1659353238.0,2.31
1659353244.0,540.00
1659353250.0,59.20
1659353256.0,5.95
1659353262.0,1986.56
1659353268.0,8110.08
1659353274.0,3.12
1659353280.0,10.30
1659353286.0,510.00
1659353292.0,65.10
1659353298.0,68.90
1659353304.0,55.30
1659353310.0,63.00
1659353316.0,87.10
1659353328.0,450.00
1659353334.0,12800.00
1659353340.0,19968.00
1659353346.0,1.45
1659353352.0,15.70
1659353358.0,1.01
1659353364.0,1.56
1659353370.0,960.00
1659353376.0,1.45
1659353382.0,320.00
1659353388.0,1.79
1659353394.0,31.00
1659353400.0,480.00
1659353406.0,1.45
1659353412.0,448.00
1659353418.0,2.66
1659353424.0,444.00
1659353430.0,12.00
1659353436.0,1.45
1659353442.0,1.50
1659353448.0,24.30
1659353454.0,364.00
1659353460.0,86.60
1659353466.0,1054.72
1659353472.0,331.00
1659353478.0,26.60
1659353484.0,3.64
1659353496.0,1.45
1659353502.0,19.30
1659353508.0,23.20
1659353520.0,122.00
1659353526.0,319.00
1659353532.0,368.00
1659353538.0,12595.20
1659353544.0,20.40
1659353556.0,1.45
1659353562.0,1.51
1659353568.0,2.40
1659353574.0,58.80
1659353580.0,4.91
1659353586.0,11366.40
1659353592.0,16.50
1659353598.0,2.12
1659353604.0,2.12
1659353616.0,1.45
1659353628.0,1.79
1659353646.0,1.45
1659353652.0,17.50
1659353676.0,1.77
1659353688.0,1.79
1659353706.0,1.45
1659353712.0,27.50
1659353718.0,208.00
1659353730.0,21.40
1659353736.0,8.74
1659353748.0,1.79
1659353754.0,24.80
1659353766.0,1.45
1659353772.0,17.20
1659353796.0,1.45
1659353808.0,3.62
1659353814.0,80.90
1659353820.0,444.00
1659353826.0,1.45
1659353832.0,17.00
1659353844.0,1.45
1659353868.0,7.12
1659353874.0,1.45
1659353892.0,3.20
1659353898.0,5.29
1659353904.0,1.45
1659353910.0,42.20
1659353928.0,3.62
1659353952.0,1.25
1659353964.0,668.00
1659353982.0,1.45
1659353988.0,6.98
1659353994.0,208.00
1659354012.0,1.89
1659354030.0,21.40
1659354042.0,1.45
1659354048.0,114.00
1659354054.0,304.00
1659354066.0,608.00
1659354072.0,1.45
1659354078.0,53.50
1659354084.0,608.00
1659354090.0,1.75
1659354102.0,1.45
1659354108.0,7.12
1659354150.0,7.02
1659354168.0,8.87
1659354192.0,672.00
1659354198.0,1.45
1659354204.0,2.12
1659354210.0,2.12
1659354216.0,13.70
1659354222.0,512.00
1659354228.0,8.57
1659354258.0,1.45
1659354270.0,1.06
1659354276.0,1.45
1659354288.0,6.98
1659354306.0,1.45
1659354312.0,448.00
1659354318.0,1.52
1659354330.0,668.00
1659354336.0,1.45
1659354348.0,40.90
1659354360.0,128.00
1659354366.0,1.45
1659354390.0,876.00
1659354408.0,7.12
1659354426.0,1.45
1659354450.0,876.00
1659354456.0,1.45
1659354468.0,7.12
1659354486.0,1.45
1659354516.0,1.45
1659354528.0,7.12
1659354534.0,1.25
1659354546.0,1.45
1659354564.0,17.30
1659354588.0,7.12
1659354594.0,1.45
1659354600.0,624.00
1659354612.0,12.90
1659354624.0,18.50
1659354648.0,7.12
1659354654.0,350.00
1659354660.0,336.00
1659354666.0,0.98
1659354684.0,17.60
1659354696.0,336.00
1659354702.0,336.00
1659354708.0,6.98
1659354732.0,208.00
1659354744.0,18.50
1659354762.0,1.66
1659354768.0,3.66
1659354786.0,512.00
1659354792.0,1.45
1659354804.0,3.17
1659354810.0,2.12
1659354816.0,4.25
1659354822.0,1.45
