time,download
1659352716.0,668.00
1659352728.0,32.80
1659352740.0,3.12
1659352746.0,31.70
1659352770.0,2.00
1659352794.0,8.46
1659352812.0,17.80
1659352842.0,720.00
1659352848.0,12.50
1659352854.0,2.45
1659352860.0,672.00
1659352866.0,0.98
1659352872.0,1.93
1659352878.0,672.00
1659352884.0,1.97
1659352890.0,672.00
1659352896.0,23.50
1659352914.0,1.79
1659352926.0,5.00
1659352938.0,1.23
1659352974.0,1.79
1659352998.0,1.60
1659353004.0,1.88
1659353010.0,2.32
1659353022.0,1.85
1659353034.0,1.80
1659353046.0,19.50
1659353076.0,8.14
1659353094.0,1.81
1659353142.0,9.67
1659353148.0,13.50
1659353154.0,2.95
1659353160.0,336.00
1659353166.0,336.00
1659353172.0,2.30
1659353178.0,336.00
1659353190.0,1.33
1659353214.0,1.80
1659353256.0,208.00
1659353274.0,24.30
1659353298.0,67.50
1659353322.0,928.00
1659353358.0,25.90
1659353400.0,2.35
1659353424.0,20.50
1659353442.0,880.00
1659353448.0,11.50
1659353472.0,240.00
1659353502.0,255.00
1659353526.0,2.72
1659353550.0,1.62
1659353598.0,42.30
1659353610.0,448.00
1659353622.0,208.00
1659353652.0,21.00
1659353658.0,624.00
1659353676.0,1.88
1659353712.0,240.00
1659353742.0,9.67
1659353748.0,10.70
1659353766.0,1.09
1659353772.0,608.00
1659353802.0,20.80
1659353832.0,24.80
1659353838.0,208.00
1659353844.0,208.00
1659353886.0,320.00
1659353904.0,27.40
1659353910.0,448.00
1659353928.0,1.62
1659353952.0,19.40
1659354006.0,320.00
1659354018.0,18.40
1659354042.0,720.00
1659354048.0,11.10
1659354054.0,1.62
1659354078.0,1.37
1659354096.0,23.20
1659354108.0,144.00
1659354114.0,82.70
1659354126.0,320.00
1659354132.0,208.00
1659354144.0,208.00
1659354168.0,19.80
1659354180.0,2.36
1659354204.0,1.94
1659354228.0,144.00
1659354288.0,144.00
1659354300.0,1.02
1659354312.0,3.99
1659354330.0,21.00
1659354342.0,1.63
1659354348.0,15.00
1659354366.0,320.00
1659354408.0,144.00
1659354432.0,2.23
1659354456.0,1.63
1659354468.0,808.00
1659354480.0,10.10
1659354486.0,2.12
1659354492.0,2.33
1659354510.0,448.00
1659354528.0,144.00
1659354558.0,608.00
1659354582.0,10.00
1659354588.0,144.00
1659354600.0,1.85
1659354606.0,2.12
1659354648.0,11.10
1659354708.0,144.00
1659354720.0,2.07
1659354726.0,320.00
1659354732.0,1.87
1659354738.0,1.96
1659354768.0,476.00
1659354780.0,1.85
1659354786.0,656.00
1659354810.0,448.00
1659354828.0,144.00
1659354840.0,1.85
1659354846.0,320.00
1659354858.0,29.00
1659354888.0,144.00
1659354900.0,2.09
1659354948.0,11.10
1659354966.0,320.00
1659354984.0,1.63
1659355008.0,20.90
1659355014.0,4.72
1659355020.0,416.00
1659355050.0,15.60
1659355068.0,476.00
1659355086.0,768.00
1659355110.0,2.59
1659355128.0,144.00
1659355134.0,2.51
1659355170.0,144.00
1659355176.0,144.00
1659355188.0,6031.36
1659355206.0,320.00
1659355212.0,208.00
1659355218.0,664.00
1659355230.0,144.00
