time,download
1659352884.0,208.00
1659353004.0,480.00
1659353154.0,1.64
1659353160.0,672.00
1659353166.0,336.00
1659353178.0,336.00
1659353184.0,0.98
1659353190.0,336.00
1659353208.0,336.00
1659353214.0,672.00
1659353226.0,352.00
1659353238.0,336.00
1659353454.0,672.00
1659353460.0,1.31
1659353466.0,336.00
1659353472.0,0.98
1659353478.0,672.00
1659353490.0,0.98
1659353496.0,0.98
1659353502.0,672.00
1659353508.0,336.00
1659353514.0,336.00
1659353532.0,336.00
1659353538.0,672.00
1659353718.0,600.00
1659353754.0,336.00
1659353766.0,336.00
1659353772.0,336.00
1659353778.0,672.00
1659353784.0,672.00
1659353790.0,672.00
1659353796.0,0.98
1659353802.0,672.00
1659353826.0,336.00
1659353832.0,336.00
1659354054.0,0.98
1659354060.0,1.31
1659354066.0,672.00
1659354072.0,18.50
1659354084.0,336.00
1659354090.0,672.00
1659354114.0,672.00
1659354348.0,336.00
1659354354.0,336.00
1659354360.0,17.60
1659354366.0,336.00
1659354378.0,672.00
1659354390.0,0.98
1659354396.0,336.00
1659354402.0,672.00
1659354408.0,0.98
1659354414.0,336.00
1659354420.0,336.00
1659354426.0,672.00
1659354432.0,336.00
1659354504.0,4.50
1659354510.0,81.00
1659355008.0,300.00
1659355242.0,336.00
1659355536.0,336.00
1659355542.0,336.00
1659355554.0,672.00
1659355560.0,672.00
1659355572.0,336.00
1659355578.0,672.00
1659355584.0,0.98
1659355614.0,336.00
1659355650.0,336.00
1659355842.0,1.31
1659355854.0,672.00
1659355860.0,0.98
1659355878.0,672.00
1659355902.0,336.00
1659355914.0,336.00
1659355932.0,336.00
1659355944.0,544.00
1659356016.0,18.20
1659356106.0,144.00
1659356136.0,336.00
1659356148.0,336.00
1659356160.0,0.98
1659356166.0,144.00
1659356178.0,672.00
1659356190.0,336.00
1659356208.0,336.00
1659356226.0,336.00
1659356436.0,336.00
1659356484.0,336.00
1659356766.0,336.00
1659356778.0,336.00
1659356808.0,144.00
1659356820.0,17.30
1659357000.0,508.00
1659357036.0,336.00
1659357066.0,336.00
1659357390.0,144.00
1659357552.0,208.00
1659357654.0,336.00
1659357666.0,336.00
1659357678.0,672.00
1659357690.0,336.00
1659357732.0,1.29
