time,download
1659352674.0,2.02
1659352680.0,436.00
1659352686.0,13.30
1659352692.0,3.95
1659352698.0,2.39
1659352704.0,9.29
1659352710.0,928.00
1659352716.0,804.00
1659352722.0,1.46
1659352728.0,2.66
1659352734.0,3.74
1659352746.0,51.20
1659352752.0,436.00
1659352758.0,596.00
1659352764.0,46.00
1659352770.0,2.99
1659352776.0,6.43
1659352782.0,1.49
1659352788.0,1.99
1659352794.0,1.16
1659352800.0,332.00
1659352806.0,1.49
1659352812.0,576.00
1659352818.0,44.50
1659352824.0,332.00
1659352830.0,1.16
1659352836.0,2.39
1659352842.0,1.72
1659352848.0,160.00
1659352854.0,4.37
1659352860.0,1.82
1659352866.0,18.60
1659352878.0,1.16
1659352884.0,9.10
1659352890.0,6.53
1659352896.0,26.90
1659352902.0,1.49
1659352908.0,332.00
1659352914.0,756.00
1659352920.0,768.00
1659352926.0,332.00
1659352932.0,3.63
1659352938.0,964.00
1659352944.0,1.08
1659352950.0,596.00
1659352956.0,7.20
1659352962.0,1.20
1659352968.0,932.00
1659352974.0,4.32
1659352980.0,1.18
1659352986.0,1.16
1659352998.0,1.37
1659353004.0,1.21
1659353010.0,88.70
1659353016.0,83.00
1659353022.0,756.00
1659353028.0,98.70
1659353034.0,3.19
1659353040.0,131.00
1659353046.0,8.70
1659353052.0,596.00
1659353058.0,884.00
1659353064.0,1.69
1659353070.0,928.00
1659353088.0,880.00
1659353094.0,3.11
1659353100.0,884.00
1659353118.0,1.57
1659353124.0,1.49
1659353136.0,5.96
1659353142.0,1.39
1659353148.0,928.00
1659353154.0,1.82
1659353160.0,772.00
1659353166.0,2.48
1659353178.0,1.77
1659353184.0,1.41
1659353190.0,10.60
1659353196.0,4.23
1659353202.0,1.49
1659353214.0,2.37
1659353220.0,288.00
1659353226.0,6.43
1659353232.0,596.00
1659353238.0,1.37
1659353244.0,160.00
1659353250.0,1.81
1659353256.0,3.30
1659353262.0,1.14
1659353268.0,928.00
1659353274.0,1.16
1659353280.0,596.00
1659353286.0,928.00
1659353298.0,756.00
1659353304.0,828.00
1659353316.0,5.18
1659353322.0,1.49
1659353328.0,1.78
1659353334.0,1.37
1659353340.0,332.00
1659353346.0,5.12
1659353352.0,46.30
1659353358.0,16.60
1659353364.0,2.93
